id_viaje;con_tarjeta;fecha_evento;tipo_viaje;descripcion_tipo_viaje;grupo_usuario;descripcion_grupo_usuario;grupo_usuario_especifico;descripcion_grupo_usuario_espe;ordinal_de_tramo;cantidad_pasajeros;codigo_parada_origen;cod_empresa;descrip_empresa;linea_codigo;dsc_linea;sevar_codigo
8980723;1;2024-05-15 10:41:36;10;JUB. A;3;JUBILADO;31;JUBILADO A;2;1;6424;50;C.U.T.C.S.A.;26;102;8870
9359865;1;2024-05-15 20:19:07;7;EST. A;2;ESTUDIANTE;21;ESTUDIANTE A;2;1;1567;10;C.O.E.T.C.;497;G;8872
